casualties_id,casualties,fatalities,serious_injuries,minor_injuries
0c,0,0,0,0
1c1m,1,0,0,1
2c2m,2,0,0,2
1c1s,1,0,1,0
1c1f,1,1,0,0
4c4m,4,0,0,4
2c1s1m,2,0,1,1
3c1f2s,3,1,2,0
8c1f7s,8,1,7,0
3c3m,3,0,0,3
2c2s,2,0,2,0
4c2s2m,4,0,2,2
5c5m,5,0,0,5
3c3s,3,0,3,0
4c4s,4,0,4,0
3c1s2m,3,0,1,2
3c1f2m,3,1,0,2
2c1f1m,2,1,0,1
4c3s1m,4,0,3,1
4c1s3m,4,0,1,3
4c1f3s,4,1,3,0
2c1f1s,2,1,1,0
2c2f,2,2,0,0
3c2s1m,3,0,2,1
5c3s2m,5,0,3,2
4c1f1s2m,4,1,1,2
3c1f1s1m,3,1,1,1
5c4s1m,5,0,4,1
6c6m,6,0,0,6
5c5s,5,0,5,0
5c1f3s1m,5,1,3,1
3c3f,3,3,0,0
5c2s3m,5,0,2,3
5c1f4s,5,1,4,0
6c2s4m,6,0,2,4
5c1s4m,5,0,1,4
5c1f1s3m,5,1,1,3
3c2f1m,3,2,0,1
7c2s5m,7,0,2,5
5c1f4m,5,1,0,4
6c3s3m,6,0,3,3
7c3s4m,7,0,3,4
7c7m,7,0,0,7
4c1f2s1m,4,1,2,1
6c1f5s,6,1,5,0
6c1s5m,6,0,1,5
6c1f1s4m,6,1,1,4
6c2f4s,6,2,4,0
4c2f2s,4,2,2,0
4c2f1s1m,4,2,1,1
8c2f3s3m,8,2,3,3
9c1f8m,9,1,0,8
3c2f1s,3,2,1,0
6c2f1s3m,6,2,1,3
9c9m,9,0,0,9
7c4f3m,7,4,0,3
6c1f3s2m,6,1,3,2
5c2f3s,5,2,3,0
7c1f2s4m,7,1,2,4
4c3f1m,4,3,0,1
8c8m,8,0,0,8
4c1f3m,4,1,0,3
6c6s,6,0,6,0
7c3f4s,7,3,4,0
9c3f5s1m,9,3,5,1
6c1f5m,6,1,0,5
9c2s7m,9,0,2,7
8c4f3s1m,8,4,3,1
7c1s6m,7,0,1,6
8c1f6s1m,8,1,6,1
4c4f,4,4,0,0
11c1s10m,11,0,1,10
6c1f4s1m,6,1,4,1
5c2f3m,5,2,0,3
7c4s3m,7,0,4,3
12c6f5s1m,12,6,5,1
13c12s1m,13,0,12,1
9c3s6m,9,0,3,6
8c1f4s3m,8,1,4,3
6c5s1m,6,0,5,1
9c8s1m,9,0,8,1
12c2f5s5m,12,2,5,5
10c4s6m,10,0,4,6
8c1s7m,8,0,1,7
10c1f4s5m,10,1,4,5
10c1f9s,10,1,9,0
10c9s1m,10,0,9,1
7c7s,7,0,7,0
7c7f,7,7,0,0
6c4s2m,6,0,4,2
5c1f2s2m,5,1,2,2
14c14m,14,0,0,14
7c1f3s3m,7,1,3,3
6c3f2s1m,6,3,2,1
13c13s,13,0,13,0
7c1f6m,7,1,0,6
8c3s5m,8,0,3,5
7c1f6s,7,1,6,0
38c11f11s16m,38,11,11,16
8c4s4m,8,0,4,4
9c7s2m,9,0,7,2
17c6s11m,17,0,6,11
4c3f1s,4,3,1,0
15c14s1m,15,0,14,1
8c8s,8,0,8,0
9c1f8s,9,1,8,0
8c2s6m,8,0,2,6
9c4s5m,9,0,4,5
8c5s3m,8,0,5,3
5c3f2s,5,3,2,0
5c2f2s1m,5,2,2,1
16c16m,16,0,0,16
19c7s12m,19,0,7,12
4c2f2m,4,2,0,2
7c2f5s,7,2,5,0
13c8s5m,13,0,8,5
13c4f5s4m,13,4,5,4
9c3f6s,9,3,6,0
11c2s9m,11,0,2,9
9c4f5s,9,4,5,0
27c1s26m,27,0,1,26
7c5s2m,7,0,5,2
13c10s3m,13,0,10,3
7c1f4s2m,7,1,4,2
6c5f1s,6,5,1,0
10c10m,10,0,0,10
5c3f1s1m,5,3,1,1
14c3s11m,14,0,3,11
8c6s2m,8,0,6,2
7c1f5s1m,7,1,5,1
15c6s9m,15,0,6,9
9c9s,9,0,9,0
8c1f5s2m,8,1,5,2
10c1s9m,10,0,1,9
8c7s1m,8,0,7,1
9c1s8m,9,0,1,8
10c10s,10,0,10,0
12c3s9m,12,0,3,9
5c4f1m,5,4,0,1
9c1f6s2m,9,1,6,2
6c6f,6,6,0,0
7c6s1m,7,0,6,1
9c1f7s1m,9,1,7,1
14c1f2s11m,14,1,2,11
7c5f2s,7,5,2,0
8c1f2s5m,8,1,2,5
10c2s8m,10,0,2,8
10c1f1s8m,10,1,1,8
7c2f4s1m,7,2,4,1
8c2f5s1m,8,2,5,1
6c4f2m,6,4,0,2
7c4f3s,7,4,3,0
9c1f3s5m,9,1,3,5
23c23m,23,0,0,23
7c2f1s4m,7,2,1,4
11c11m,11,0,0,11
6c1f2s3m,6,1,2,3
6c2f2s2m,6,2,2,2
10c2f7s1m,10,2,7,1
13c13m,13,0,0,13
12c12m,12,0,0,12
27c1f1s25m,27,1,1,25
12c8s4m,12,0,8,4
9c5s4m,9,0,5,4
11c1f1s9m,11,1,1,9
19c11s8m,19,0,11,8
23c1s22m,23,0,1,22
14c3f10s1m,14,3,10,1
19c2f17s,19,2,17,0
20c7s13m,20,0,7,13
5c4f1s,5,4,1,0
10c3s7m,10,0,3,7
46c1f2s43m,46,1,2,43
7c2f3s2m,7,2,3,2
7c1f1s5m,7,1,1,5
11c10s1m,11,0,10,1
7c2f2s3m,7,2,2,3
5c2f1s2m,5,2,1,2
5c3f2m,5,3,0,2
5c5f,5,5,0,0
6c4f1s1m,6,4,1,1
8c1f7m,8,1,0,7
11c3s8m,11,0,3,8
7c6f1m,7,6,0,1
6c4f2s,6,4,2,0
8c3f5s,8,3,5,0
11c4s7m,11,0,4,7
9c2f2s5m,9,2,2,5
7c2f5m,7,2,0,5
6c2f3s1m,6,2,3,1
10c1f6s3m,10,1,6,3
10c6f2s2m,10,6,2,2
9c2f7m,9,2,0,7
11c3f6s2m,11,3,6,2
11c6s5m,11,0,6,5
6c3f3s,6,3,3,0
6c3f3m,6,3,0,3
7c3f1s3m,7,3,1,3
10c9f1m,10,9,0,1
8c2f4s2m,8,2,4,2
7c3f3s1m,7,3,3,1
9c1f1s7m,9,1,1,7
8c1f3s4m,8,1,3,4
9c1f4s4m,9,1,4,4
35c1s34m,35,0,1,34
19c3s16m,19,0,3,16
6c3f1s2m,6,3,1,2
7c4f2s1m,7,4,2,1
20c2s18m,20,0,2,18
15c3s12m,15,0,3,12
10c1f3s6m,10,1,3,6
8c5f1s2m,8,5,1,2
9c2f5s2m,9,2,5,2
12c2s10m,12,0,2,10
13c1f4s8m,13,1,4,8
11c1f10s,11,1,10,0
9c3f2s4m,9,3,2,4
42c12s30m,42,0,12,30
13c3s10m,13,0,3,10
8c3f1s4m,8,3,1,4
22c4s18m,22,0,4,18
8c2f1s5m,8,2,1,5
15c5s10m,15,0,5,10
8c2f2s4m,8,2,2,4
9c1f5s3m,9,1,5,3
9c3f1s5m,9,3,1,5
16c2s14m,16,0,2,14
43c3f14s26m,43,3,14,26
15c15m,15,0,0,15
12c4f8s,12,4,8,0
8c7f1s,8,7,1,0
18c9s9m,18,0,9,9
19c1s18m,19,0,1,18
21c2f19s,21,2,19,0
9c6s3m,9,0,6,3
21c4s17m,21,0,4,17
11c5s6m,11,0,5,6
11c1f3s7m,11,1,3,7
9c2f6s1m,9,2,6,1
18c18m,18,0,0,18
14c5s9m,14,0,5,9
22c22s,22,0,22,0
11c8s3m,11,0,8,3
21c16s5m,21,0,16,5
17c17s,17,0,17,0
17c1s16m,17,0,1,16
12c2f10m,12,2,0,10
11c11s,11,0,11,0
21c1s20m,21,0,1,20
12c12s,12,0,12,0
16c3s13m,16,0,3,13
14c2s12m,14,0,2,12
11c3f8s,11,3,8,0
13c6s7m,13,0,6,7
32c6s26m,32,0,6,26
13c1f6s6m,13,1,6,6
12c1s11m,12,0,1,11
18c7s11m,18,0,7,11
