Date,Average_speed
Jan 1 2016,87.35
Feb 1 2016,79.58
Mar 1 2016,84.04
Apr 1 2016,83.06
May 1 2016,78.8
Jun 1 2016,82.03
Jul 1 2016,84.63
Aug 1 2016,84.66
Sep 1 2016,78.17
Oct 1 2016,83.88
Nov 1 2016,80.6
Dec 1 2016,85.97
Jan 1 2017,82.75
Feb 1 2017,85.35
Mar 1 2017,81.32
Apr 1 2017,80.57
May 1 2017,79.66
Jun 1 2017,84.24
Jul 1 2017,82.09
Aug 1 2017,78.49
Sep 1 2017,74.86
Oct 1 2017,89.01
Nov 1 2017,84.69
Dec 1 2017,81.63
Jan 1 2018,82.56
Feb 1 2018,83.18
Mar 1 2018,81.78
Apr 1 2018,79.13
May 1 2018,80.1
Jun 1 2018,82.13
Jul 1 2018,80.67
Aug 1 2018,86.49
Sep 1 2018,81.81
Oct 1 2018,83.05
Nov 1 2018,81.43
Dec 1 2018,82.12
Jan 1 2019,84.14
Feb 1 2019,85.39
Mar 1 2019,77.8
Apr 1 2019,79.28
May 1 2019,80.46
Jun 1 2019,82.34
Jul 1 2019,79.13
Aug 1 2019,80.33
Sep 1 2019,80.94
Oct 1 2019,81.72
Nov 1 2019,83.42
Dec 1 2019,85.87
Jan 1 2020,84.56
Feb 1 2020,79.29
Mar 1 2020,78.47
Apr 1 2020,79.1
May 1 2020,82.48
Jun 1 2020,83.58
Jul 1 2020,82.05
Aug 1 2020,86.37
Sep 1 2020,85.39
Oct 1 2020,86.32
Nov 1 2020,81.25
Dec 1 2020,85.28
Jan 1 2021,82.38
Feb 1 2021,85.47
Mar 1 2021,84.79
Apr 1 2021,87.31
May 1 2021,84.29
Jun 1 2021,82.35
Jul 1 2021,86.41
Aug 1 2021,81.3
Sep 1 2021,81.25
Oct 1 2021,80.7
Nov 1 2021,82.24
Dec 1 2021,84.67
