Crash_ID,State,Year,Gender,Age_Group,Fatalities
20215034,WA,2021,Male,17 to 25,1
20213072,Qld,2021,Male,17 to 25,1
20211066,NSW,2021,Male,17 to 25,1
20215081,WA,2021,Male,26 to 39,1
20211093,NSW,2021,Male,26 to 39,1
20213005,Qld,2021,Male,26 to 39,1
20212050,Vic,2021,Male,26 to 39,2
20211137,NSW,2021,Male,26 to 39,1
20215041,WA,2021,Male,40 to 64,1
20211048,NSW,2021,Male,40 to 64,1
20211134,NSW,2021,Male,17 to 25,1
20212108,Vic,2021,Male,26 to 39,1
20211105,NSW,2021,Male,40 to 64,1
20216016,Tas,2021,Male,40 to 64,1
20213062,Qld,2021,Male,26 to 39,1
20215032,WA,2021,Female,17 to 25,2
20215032,WA,2021,Male,17 to 25,2
20216003,Tas,2021,Male,40 to 64,1
20213123,Qld,2021,Female,40 to 64,1
20213082,Qld,2021,Female,40 to 64,1
20211021,NSW,2021,Male,65 to 74,1
20212050,Vic,2021,Female,40 to 64,2
20213135,Qld,2021,Male,65 to 74,1
20212138,Vic,2021,Female,0 to 16,3
20213098,Qld,2021,Male,17 to 25,1
20211175,NSW,2021,Male,17 to 25,1
20211028,NSW,2021,Male,17 to 25,1
20217020,NT,2021,Female,26 to 39,1
20215038,WA,2021,Male,65 to 74,1
20215091,WA,2021,Female,65 to 74,1
20215001,WA,2021,Female,75 or older,1
20213161,Qld,2021,Male,26 to 39,1
20214007,SA,2021,Male,17 to 25,1
20212138,Vic,2021,Female,26 to 39,3
20215083,WA,2021,Female,26 to 39,1
20211005,NSW,2021,Male,40 to 64,1
20215097,WA,2021,Male,40 to 64,1
20216001,Tas,2021,Male,40 to 64,2
20213023,Qld,2021,Male,40 to 64,1
20213057,Qld,2021,Male,65 to 74,1
20214050,SA,2021,Male,65 to 74,1
20211113,NSW,2021,Male,65 to 74,2
20212141,Vic,2021,Male,40 to 64,1
20213054,Qld,2021,Male,75 or older,1
20212064,Vic,2021,Male,40 to 64,1
20211008,NSW,2021,Male,40 to 64,1
20213164,Qld,2021,Male,17 to 25,1
20211032,NSW,2021,Female,75 or older,1
20216001,Tas,2021,Female,75 or older,2
20211075,NSW,2021,Female,40 to 64,2
20211075,NSW,2021,Male,40 to 64,2
20214004,SA,2021,Female,75 or older,2
20214004,SA,2021,Male,75 or older,2
20213046,Qld,2021,Male,40 to 64,1
20211113,NSW,2021,Male,75 or older,2
20211007,NSW,2021,Male,75 or older,1
20217005,NT,2021,Male,40 to 64,1
20213033,Qld,2021,Male,40 to 64,1
20213106,Qld,2021,Male,65 to 74,1
20217008,NT,2021,Male,0 to 16,1
20212056,Vic,2021,Male,0 to 16,1
20212038,Vic,2021,Female,40 to 64,1
20212061,Vic,2021,Male,75 or older,1
20216013,Tas,2021,Female,75 or older,1
20213084,Qld,2021,Female,17 to 25,1
20213166,Qld,2021,Male,17 to 25,2
20211023,NSW,2021,Male,17 to 25,1
20211071,NSW,2021,Male,26 to 39,1
20215086,WA,2021,Male,26 to 39,1
20212081,Vic,2021,Male,26 to 39,1
20213103,Qld,2021,Female,26 to 39,1
20216010,Tas,2021,Male,17 to 25,1
20217018,NT,2021,Female,26 to 39,1
20216018,Tas,2021,Male,26 to 39,1
20213150,Qld,2021,Male,26 to 39,1
20212099,Vic,2021,Male,26 to 39,1
20215089,WA,2021,Male,40 to 64,1
20212013,Vic,2021,Male,40 to 64,1
20211015,NSW,2021,Male,75 or older,1
20212070,Vic,2021,Female,40 to 64,1
20213041,Qld,2021,Female,26 to 39,1
20215063,WA,2021,Male,17 to 25,1
20214020,SA,2021,Male,26 to 39,1
20211085,NSW,2021,Male,26 to 39,1
20211130,NSW,2021,Male,40 to 64,1
20213167,Qld,2021,Female,40 to 64,1
20214057,SA,2021,Female,40 to 64,1
20213038,Qld,2021,Male,40 to 64,3
20213038,Qld,2021,Male,40 to 64,3
20213038,Qld,2021,Male,40 to 64,3
20214036,SA,2021,Male,17 to 25,1
20216007,Tas,2021,Male,40 to 64,2
20216007,Tas,2021,Female,40 to 64,2
20212040,Vic,2021,Male,17 to 25,2
20212040,Vic,2021,Male,17 to 25,2
20213166,Qld,2021,Male,17 to 25,2
20211003,NSW,2021,Male,0 to 16,1
20213015,Qld,2021,Male,40 to 64,1
20215012,WA,2021,Male,40 to 64,1
20212057,Vic,2021,Male,65 to 74,1
20215040,WA,2021,Male,65 to 74,1
20215049,WA,2021,Male,26 to 39,1
20215099,WA,2021,Female,75 or older,1
20213151,Qld,2021,Female,0 to 16,2
20213004,Qld,2021,Male,0 to 16,3
20213004,Qld,2021,Female,0 to 16,3
20213156,Qld,2021,Female,17 to 25,1
20216023,Tas,2021,Female,17 to 25,2
20213113,Qld,2021,Male,17 to 25,1
20211152,NSW,2021,Male,17 to 25,1
20213009,Qld,2021,Male,17 to 25,1
20213149,Qld,2021,Female,26 to 39,2
20213151,Qld,2021,Female,26 to 39,2
20213104,Qld,2021,Male,17 to 25,1
20213132,Qld,2021,Female,26 to 39,1
20211002,NSW,2021,Male,26 to 39,1
20213004,Qld,2021,Female,26 to 39,3
20215084,WA,2021,Male,26 to 39,1
20216023,Tas,2021,Male,26 to 39,2
20213149,Qld,2021,Male,40 to 64,2
20213059,Qld,2021,Male,40 to 64,1
20213080,Qld,2021,Male,40 to 64,1
20212109,Vic,2021,Male,40 to 64,1
20213109,Qld,2021,Female,40 to 64,1
20215052,WA,2021,Male,26 to 39,1
20211148,NSW,2021,Male,40 to 64,1
20214025,SA,2021,Male,40 to 64,2
20214025,SA,2021,Female,40 to 64,2
20215024,WA,2021,Male,26 to 39,1
20213090,Qld,2021,Male,40 to 64,1
20212110,Vic,2021,Male,40 to 64,1
20211057,NSW,2021,Female,40 to 64,1
20212048,Vic,2021,Male,40 to 64,1
20215053,WA,2021,Male,75 or older,1
20213064,Qld,2021,Male,40 to 64,1
20211067,NSW,2021,Male,40 to 64,1
20212085,Vic,2021,Male,40 to 64,1
20211171,NSW,2021,Male,40 to 64,1
20211156,NSW,2021,Male,40 to 64,1
20214026,SA,2021,Male,65 to 74,1
20212059,Vic,2021,Male,17 to 25,1
20213003,Qld,2021,Female,17 to 25,1
20217021,NT,2021,Male,26 to 39,1
20213159,Qld,2021,Male,26 to 39,1
20211012,NSW,2021,Male,26 to 39,1
20215006,WA,2021,Male,40 to 64,1
20214003,SA,2021,Male,65 to 74,1
20211053,NSW,2021,Male,40 to 64,1
20213078,Qld,2021,Female,75 or older,1
20211160,NSW,2021,Female,75 or older,1
20212009,Vic,2021,Male,40 to 64,1
20216008,Tas,2021,Male,40 to 64,1
20212100,Vic,2021,Female,75 or older,1
20217023,NT,2021,Male,40 to 64,1
20214010,SA,2021,Male,0 to 16,1
20213110,Qld,2021,Male,17 to 25,1
20211050,NSW,2021,Male,40 to 64,1
20211006,NSW,2021,Male,40 to 64,1
20212127,Vic,2021,Female,65 to 74,1
20211127,NSW,2021,Male,40 to 64,1
20214014,SA,2021,Female,40 to 64,1
20217019,NT,2021,Male,26 to 39,1
20211100,NSW,2021,Male,75 or older,1
20217002,NT,2021,Female,40 to 64,1
20211168,NSW,2021,Female,75 or older,1
20211037,NSW,2021,Male,40 to 64,1
20218001,ACT,2021,Male,75 or older,1
20214061,SA,2021,Male,65 to 74,1
20214028,SA,2021,Male,17 to 25,1
