State,Month,Fatalities,Cases
ACT,Jan,27,438
NSW,Jan,1320,14653
NT,Jan,99,1430
QLD,Jan,782,9413
SA,Jan,401,4051
TAS,Jan,165,1376
VIC,Jan,993,10453
WA,Jan,543,5677
ACT,Feb,36,438
NSW,Feb,1257,14653
NT,Feb,114,1430
QLD,Feb,700,9413
SA,Feb,329,4051
TAS,Feb,132,1376
VIC,Feb,963,10453
WA,Feb,445,5677
ACT,Mar,37,438
NSW,Mar,1447,14653
NT,Mar,93,1430
QLD,Mar,841,9413
SA,Mar,442,4051
TAS,Mar,159,1376
VIC,Mar,1121,10453
WA,Mar,534,5677
ACT,Apr,45,438
NSW,Apr,1349,14653
NT,Apr,134,1430
QLD,Apr,794,9413
SA,Apr,399,4051
TAS,Apr,141,1376
VIC,Apr,933,10453
WA,Apr,503,5677
ACT,May,40,438
NSW,May,1360,14653
NT,May,138,1430
QLD,May,890,9413
SA,May,368,4051
TAS,May,134,1376
VIC,May,1024,10453
WA,May,494,5677
ACT,Jun,42,438
NSW,Jun,1344,14653
NT,Jun,147,1430
QLD,Jun,892,9413
SA,Jun,375,4051
TAS,Jun,127,1376
VIC,Jun,912,10453
WA,Jun,493,5677
ACT,Jul,40,438
NSW,Jul,1319,14653
NT,Jul,158,1430
QLD,Jul,951,9413
SA,Jul,345,4051
TAS,Jul,105,1376
VIC,Jul,908,10453
WA,Jul,495,5677
ACT,Aug,34,438
NSW,Aug,1401,14653
NT,Aug,212,1430
QLD,Aug,967,9413
SA,Aug,367,4051
TAS,Aug,108,1376
VIC,Aug,881,10453
WA,Aug,537,5677
ACT,Sep,56,438
NSW,Sep,1287,14653
NT,Sep,121,1430
QLD,Sep,923,9413
SA,Sep,354,4051
TAS,Sep,108,1376
VIC,Sep,878,10453
WA,Sep,526,5677
ACT,Oct,39,438
NSW,Oct,1398,14653
NT,Oct,134,1430
QLD,Oct,916,9413
SA,Oct,394,4051
TAS,Oct,109,1376
VIC,Oct,945,10453
WA,Oct,574,5677
ACT,Nov,31,438
NSW,Nov,1355,14653
NT,Nov,120,1430
QLD,Nov,900,9413
SA,Nov,373,4051
TAS,Nov,125,1376
VIC,Nov,943,10453
WA,Nov,541,5677
ACT,Dec,50,438
NSW,Dec,1442,14653
NT,Dec,171,1430
QLD,Dec,918,9413
SA,Dec,395,4051
TAS,Dec,134,1376
VIC,Dec,1036,10453
WA,Dec,575,5677
