State,Month,Fatalities,Cases
ACT,2021-01-01,27,438
NSW,2021-01-01,1320,14653
NT,2021-01-01,99,1430
QLD,2021-01-01,782,9413
SA,2021-01-01,401,4051
TAS,2021-01-01,165,1376
VIC,2021-01-01,993,10453
WA,2021-01-01,543,5677
ACT,2021-02-01,36,438
NSW,2021-02-01,1257,14653
NT,2021-02-01,114,1430
QLD,2021-02-01,700,9413
SA,2021-02-01,329,4051
TAS,2021-02-01,132,1376
VIC,2021-02-01,963,10453
WA,2021-02-01,445,5677
ACT,2021-03-01,37,438
NSW,2021-03-01,1447,14653
NT,2021-03-01,93,1430
QLD,2021-03-01,841,9413
SA,2021-03-01,442,4051
TAS,2021-03-01,159,1376
VIC,2021-03-01,1121,10453
WA,2021-03-01,534,5677
ACT,2021-04-01,45,438
NSW,2021-04-01,1349,14653
NT,2021-04-01,134,1430
QLD,2021-04-01,794,9413
SA,2021-04-01,399,4051
TAS,2021-04-01,141,1376
VIC,2021-04-01,933,10453
WA,2021-04-01,503,5677
ACT,2021-05-01,40,438
NSW,2021-05-01,1360,14653
NT,2021-05-01,138,1430
QLD,2021-05-01,890,9413
SA,2021-05-01,368,4051
TAS,2021-05-01,134,1376
VIC,2021-05-01,1024,10453
WA,2021-05-01,494,5677
ACT,2021-06-01,42,438
NSW,2021-06-01,1344,14653
NT,2021-06-01,147,1430
QLD,2021-06-01,892,9413
SA,2021-06-01,375,4051
TAS,2021-06-01,127,1376
VIC,2021-06-01,912,10453
WA,2021-06-01,493,5677
ACT,2021-07-01,40,438
NSW,2021-07-01,1319,14653
NT,2021-07-01,158,1430
QLD,2021-07-01,951,9413
SA,2021-07-01,345,4051
TAS,2021-07-01,105,1376
VIC,2021-07-01,908,10453
WA,2021-07-01,495,5677
ACT,2021-08-01,34,438
NSW,2021-08-01,1401,14653
NT,2021-08-01,212,1430
QLD,2021-08-01,967,9413
SA,2021-08-01,367,4051
TAS,2021-08-01,108,1376
VIC,2021-08-01,881,10453
WA,2021-08-01,537,5677
ACT,2021-09-01,56,438
NSW,2021-09-01,1287,14653
NT,2021-09-01,121,1430
QLD,2021-09-01,923,9413
SA,2021-09-01,354,4051
TAS,2021-09-01,108,1376
VIC,2021-09-01,878,10453
WA,2021-09-01,526,5677
ACT,2021-10-01,39,438
NSW,2021-10-01,1398,14653
NT,2021-10-01,134,1430
QLD,2021-10-01,916,9413
SA,2021-10-01,394,4051
TAS,2021-10-01,109,1376
VIC,2021-10-01,945,10453
WA,2021-10-01,574,5677
ACT,2021-11-01,31,438
NSW,2021-11-01,1355,14653
NT,2021-11-01,120,1430
QLD,2021-11-01,900,9413
SA,2021-11-01,373,4051
TAS,2021-11-01,125,1376
VIC,2021-11-01,943,10453
WA,2021-11-01,541,5677
ACT,2021-12-01,50,438
NSW,2021-12-01,1442,14653
NT,2021-12-01,171,1430
QLD,2021-12-01,918,9413
SA,2021-12-01,395,4051
TAS,2021-12-01,134,1376
VIC,2021-12-01,1036,10453
WA,2021-12-01,575,5677
