State,Month,Year,Dayweek,Fatalities,Speed
WA,Aug,2021,Sunday,2,110
Vic,Aug,2021,Sunday,1,80
NSW,Aug,2021,Saturday,1,50
Qld,Aug,2021,Saturday,1,100
Vic,Aug,2021,Sunday,1,-9
NSW,Aug,2021,Saturday,1,70
Qld,Aug,2021,Friday,1,100
Vic,Aug,2021,Monday,1,-9
NT,Aug,2021,Friday,1,110
WA,Aug,2021,Monday,1,50
Qld,Aug,2021,Thursday,1,100
Tas,Aug,2021,Tuesday,1,50
SA,Aug,2021,Tuesday,1,100
Qld,Aug,2021,Monday,1,70
NSW,Aug,2021,Wednesday,1,80
Vic,Aug,2021,Thursday,1,-9
Qld,Aug,2021,Monday,1,-9
Vic,Aug,2021,Tuesday,1,-9
Vic,Aug,2021,Friday,1,-9
Qld,Aug,2021,Monday,1,110
Qld,Aug,2021,Friday,1,50
NSW,Aug,2021,Friday,1,80
NSW,Aug,2021,Monday,2,60
Vic,Aug,2021,Sunday,1,-9
Vic,Aug,2021,Sunday,1,80
NT,Aug,2021,Saturday,1,50
Vic,Aug,2021,Wednesday,1,50
Vic,Aug,2021,Wednesday,1,60
WA,Aug,2021,Saturday,1,110
WA,Aug,2021,Saturday,1,110
NSW,Aug,2021,Saturday,1,100
NSW,Aug,2021,Friday,1,50
Vic,Aug,2021,Friday,1,-9
NSW,Aug,2021,Saturday,1,100
Qld,Aug,2021,Sunday,1,100
Qld,Aug,2021,Saturday,1,100
Tas,Aug,2021,Sunday,1,100
Tas,Aug,2021,Saturday,1,50
WA,Aug,2021,Monday,1,100
Qld,Aug,2021,Sunday,1,100
WA,Aug,2021,Friday,1,40
Qld,Aug,2021,Sunday,1,80
Qld,Aug,2021,Saturday,1,70
Vic,Aug,2021,Friday,3,60
WA,Aug,2021,Wednesday,1,80
ACT,Aug,2021,Tuesday,1,-9
Qld,Aug,2021,Monday,2,-9
Qld,Aug,2021,Monday,1,-9
Vic,Aug,2021,Sunday,2,60
NSW,Aug,2021,Friday,1,100
SA,Aug,2021,Sunday,1,110
Vic,Aug,2021,Thursday,2,-9
NSW,Aug,2021,Wednesday,1,70
WA,Aug,2021,Wednesday,1,50
NSW,Aug,2021,Friday,2,110
Vic,Aug,2021,Tuesday,1,80
NSW,Aug,2021,Tuesday,1,110
